No.,name,url,description
1,Barbecue burger,https://en.wikipedia.org/wiki/File:Double_bacon_barbecue_cheeseburger.jpg,"Prepared with ground beef, mixed with onions and barbecue sauce, and then grilled. Once the meat has been turned once, barbecue sauce is spread on top and grilled until the sauce caramelizes. The bread bun is buttered and also spread with a light layer of barbecue sauce, then toasted on the grill."
2,Buffalo burger,"https://en.wikipedia.org/wiki/File:Black_Buffalo_Burger_and_fries_-_Black_Sheep_Lodge,_Austin,_Texas.jpg","Prepared with meat from the American Bison,[9]buffalo burgers have less cholesterol, less fat, and fewer calories than beef hamburgers and chicken hamburgers. The American Heart Associationrecommended buffalo burgers in 1997 as more heart-healthy than chicken or beef.[10]"
3,California burger,"https://en.wikipedia.org/wiki/File:Cheeseburger,_fries,_toppings_and_condiments.jpg","In portions of the Midwest and East coast, a hamburger served with lettuce, tomato, and onion is referred to as a ""California burger.""[citation needed]However, in the Western U.S., a ""California"" burger most often consists of a normal cheeseburger, with the addition of guacamole or avocado and bacon.[8]"
4,Cheeseburger,https://en.wikipedia.org/wiki/File:Double_cheese_cheeseburger_(cropped).jpg,"Hamburger accompanied with melted cheese. The term itself is a portmanteau of the words ""cheese"" and ""hamburger."" The cheese is usually sliced, then added a short time before the hamburger finishes cooking to allow it to melt. In fast food restaurants, the cheese that is added to a cheeseburger is typically American cheese, but there are many other variations. Mozzarella, blue cheese, Swiss cheese, pepper jack, and especially cheddar are popular choices."
5,Hawaii burger,https://en.wikipedia.org/wiki/File:Pineapple_bacon_cheeseburger.jpg,Topped with pineapple and often teriyaki sauce (from the Japanese-American culture).
6,Salmon burger,https://en.wikipedia.org/wiki/File:Salmon_burger_(cropped).jpg,Fishcake made mostly from salmon in the style of a hamburger. Salmon burgers are especially common in Alaska where they are routinely offered as an alternative to beef hamburgers.[29]
7,Steak burger,https://en.wikipedia.org/wiki/File:Steak_burger_with_cheese_and_onion_rings.jpg,"Typically prepared with ground, sliced or minced beefsteak meat. Additional meats are also used."
8,Teriyaki burger,https://en.wikipedia.org/wiki/File:McDonald%27s_Sunshine_City_(4).jpg,Teriyaki burger (テリヤキバーガー) refers to a variety of hamburger either topped with teriyaki sauce or with the sauce worked into the ground meat patty.
9,Veggie burger,https://en.wikipedia.org/wiki/File:Veggie_burger_(1).jpg,"Veggie burger, garden burger, or tofu burger uses a meat analogue, a meat substitute such as tofu, textured vegetable protein, seitan (wheat gluten), Quorn, beans, grains or an assortment of vegetables, which are ground up and formed into patties."
10,Butter burger,https://en.wikipedia.org/wiki/File:Maple_bourbon_butter_burger_with_salad.jpg,"In the Upper Midwest, particularly Wisconsin, burgers are often made with a buttered bun, butter as one of the ingredients of the patty or with a pat of butter on top of the burger patty.[8]"
