,name,url,description
1,Dim Sums,https://i.ndtvimg.com/i/2015-02/dim-sum_625x350_61424321956.jpg,Small bite-sized rounds stuffed with veggies or meat. This essentially a Cantonese preparation.
2,Hot and Sour Soup,https://i.ndtvimg.com/i/2016-06/soup-625_625x350_81466064298.jpg,A soup with a spicy and sour broth. It is made spicy by using red peppers or white pepper and sour with vinegar.
3,Quick Noodles,https://i.ndtvimg.com/i/2016-06/noodles-625_625x350_41466064269.jpg,"One of the staples in every Chinese home, this version is super speedy. Just bung in all your favourites and create a masterpiece of your own."
4,Szechwan Chilli Chicken,https://i.ndtvimg.com/i/2015-02/chilli-chicken_625x350_81424323578.jpg,"A fiery delight straight from the Sichuan region. It is loaded with pungent spices like brown pepper. red chillies, ginger, green chillies and white pepper."
5,Spring Rolls,https://i.ndtvimg.com/i/2015-02/spring-roll_625x350_51424323845.jpg,A crisp appetizer where shredded veggies are encased in thin sheets and then fried golden.
6,Stir Fried Tofu with Rice,https://i.ndtvimg.com/i/2016-06/tofu-with-rice_625x350_81466070125.jpg,A simple stir-fry with tofu and Oriental sauces. Serve with some fried rice to make a wholesome meal.
7,Shitake Fried Rice with Water Chestnuts,https://i.ndtvimg.com/i/2015-02/mushroom-rice_625x350_61424324920.jpg,"Mushrooms and water chestnuts are used frequently in Chinese cooking. A dish that is fast, filling and flavourful."
8,Chicken with Chestnuts,https://i.ndtvimg.com/i/2016-06/dhaniwal-chicken_625x350_71464783643.jpg,This earthy recipe is perfect for a holiday feast.
9,Date Pancakes,https://i.ndtvimg.com/i/2015-02/date-pancake_625x350_61424325124.jpg,"Pancakes are like a blank canvas, ever so versatile. Chinese pancakes are usually made with dough instead of using a batter."
10,Wok Tossed Veggies in Honey and Black Bean Glaze,https://i.ndtvimg.com/i/2016-06/veggies_625x350_71466071339.jpg,"A colourful melange of veggies like chestnuts, mushrooms, Chinese cabbage - all tossed in honey and black bean sauce."
